Datum,Banka,Fixace,Sazba (%),Zdroj,Odkaz
2025-12-01,"ČNB — průměr trhu",5 let,4.51,cnb,cnb.cz/arad
2025-11-01,"ČNB — průměr trhu",5 let,4.5,cnb,cnb.cz/arad
2025-10-01,"ČNB — průměr trhu",5 let,4.52,cnb,cnb.cz/arad
2025-09-01,"ČNB — průměr trhu",5 let,4.55,cnb,cnb.cz/arad
2025-08-01,"ČNB — průměr trhu",5 let,4.56,cnb,cnb.cz/arad
2025-07-01,"ČNB — průměr trhu",5 let,4.57,cnb,cnb.cz/arad
2025-06-01,"ČNB — průměr trhu",5 let,4.61,cnb,cnb.cz/arad
2025-05-01,"ČNB — průměr trhu",5 let,4.62,cnb,cnb.cz/arad
2025-04-01,"ČNB — průměr trhu",5 let,4.69,cnb,cnb.cz/arad
2025-03-01,"ČNB — průměr trhu",5 let,4.71,cnb,cnb.cz/arad
2025-02-01,"ČNB — průměr trhu",5 let,4.74,cnb,cnb.cz/arad
2025-01-01,"ČNB — průměr trhu",5 let,4.78,cnb,cnb.cz/arad
2024-12-01,"ČNB — průměr trhu",5 let,4.77,cnb,cnb.cz/arad
2024-11-01,"ČNB — průměr trhu",5 let,4.84,cnb,cnb.cz/arad
2024-10-01,"ČNB — průměr trhu",5 let,4.89,cnb,cnb.cz/arad
2024-09-01,"ČNB — průměr trhu",5 let,4.95,cnb,cnb.cz/arad
2024-08-01,"ČNB — průměr trhu",5 let,5.01,cnb,cnb.cz/arad
2024-07-01,"ČNB — průměr trhu",5 let,5.04,cnb,cnb.cz/arad
2024-06-01,"ČNB — průměr trhu",5 let,5.01,cnb,cnb.cz/arad
2024-05-01,"ČNB — průměr trhu",5 let,5.01,cnb,cnb.cz/arad
2024-04-01,"ČNB — průměr trhu",5 let,5.04,cnb,cnb.cz/arad
2024-03-01,"ČNB — průměr trhu",5 let,5.17,cnb,cnb.cz/arad
2024-02-01,"ČNB — průměr trhu",5 let,5.28,cnb,cnb.cz/arad
2024-01-01,"ČNB — průměr trhu",5 let,5.41,cnb,cnb.cz/arad
2023-12-01,"ČNB — průměr trhu",5 let,5.53,cnb,cnb.cz/arad
2023-11-01,"ČNB — průměr trhu",5 let,5.56,cnb,cnb.cz/arad
2023-10-01,"ČNB — průměr trhu",5 let,5.6,cnb,cnb.cz/arad
2023-09-01,"ČNB — průměr trhu",5 let,5.61,cnb,cnb.cz/arad
2023-08-01,"ČNB — průměr trhu",5 let,5.63,cnb,cnb.cz/arad
2023-07-01,"ČNB — průměr trhu",5 let,5.63,cnb,cnb.cz/arad
2023-06-01,"ČNB — průměr trhu",5 let,5.6,cnb,cnb.cz/arad
2023-05-01,"ČNB — průměr trhu",5 let,5.55,cnb,cnb.cz/arad
2023-04-01,"ČNB — průměr trhu",5 let,5.53,cnb,cnb.cz/arad
2023-03-01,"ČNB — průměr trhu",5 let,5.45,cnb,cnb.cz/arad
2023-02-01,"ČNB — průměr trhu",5 let,5.34,cnb,cnb.cz/arad
2023-01-01,"ČNB — průměr trhu",5 let,5.2,cnb,cnb.cz/arad
2022-12-01,"ČNB — průměr trhu",5 let,5.07,cnb,cnb.cz/arad
2022-11-01,"ČNB — průměr trhu",5 let,5.01,cnb,cnb.cz/arad
2022-10-01,"ČNB — průměr trhu",5 let,4.95,cnb,cnb.cz/arad
2022-09-01,"ČNB — průměr trhu",5 let,4.97,cnb,cnb.cz/arad
2022-08-01,"ČNB — průměr trhu",5 let,4.83,cnb,cnb.cz/arad
2022-07-01,"ČNB — průměr trhu",5 let,4.76,cnb,cnb.cz/arad
2022-06-01,"ČNB — průměr trhu",5 let,4.42,cnb,cnb.cz/arad
2022-05-01,"ČNB — průměr trhu",5 let,4.14,cnb,cnb.cz/arad
2022-04-01,"ČNB — průměr trhu",5 let,3.93,cnb,cnb.cz/arad
2022-03-01,"ČNB — průměr trhu",5 let,3.8,cnb,cnb.cz/arad
2022-02-01,"ČNB — průměr trhu",5 let,3.52,cnb,cnb.cz/arad
2022-01-01,"ČNB — průměr trhu",5 let,3.25,cnb,cnb.cz/arad
2021-12-01,"ČNB — průměr trhu",5 let,2.9,cnb,cnb.cz/arad
2021-11-01,"ČNB — průměr trhu",5 let,2.66,cnb,cnb.cz/arad
2021-10-01,"ČNB — průměr trhu",5 let,2.5,cnb,cnb.cz/arad
2021-09-01,"ČNB — průměr trhu",5 let,2.38,cnb,cnb.cz/arad
2021-08-01,"ČNB — průměr trhu",5 let,2.28,cnb,cnb.cz/arad
2021-07-01,"ČNB — průměr trhu",5 let,2.23,cnb,cnb.cz/arad
2021-06-01,"ČNB — průměr trhu",5 let,2.16,cnb,cnb.cz/arad
2021-05-01,"ČNB — průměr trhu",5 let,2.1,cnb,cnb.cz/arad
2021-04-01,"ČNB — průměr trhu",5 let,2.05,cnb,cnb.cz/arad
2021-03-01,"ČNB — průměr trhu",5 let,2.02,cnb,cnb.cz/arad
